Rk.,Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
1,"Ritter, Luke",1798,1798,100.0,452,381,248,100,55,20,2,23,134,29.6,58,12.8,278,803,0.262,0.244,0.376,0.361,0.507,0.468,0.381,0.361,37,0.342,0.244,34.6,90.8,92.1,10,153,47.2,14.9,8.2
2,"Acuña, Luisangel NYM #12",1675,1680,99.7,486,452,376,120,90,19,5,6,78,16.0,30,6.2,185,862,0.265,0.236,0.313,0.287,0.369,0.325,0.299,0.273,13,0.308,0.104,21.5,88.3,91.5,5,129,36.2,3.5,2.7
3,"Bannon, Rylan",1379,1806,76.4,336,271,196,69,39,14,1,15,77,22.9,59,17.6,187,622,0.255,0.22,0.393,0.368,0.48,0.362,0.38,0.335,13,0.298,0.225,30.1,89.1,91.7,15,157,42.3,6.6,3.9
4,"Sánchez, Yolmer",1176,1179,99.7,280,238,179,45,26,14,0,5,60,21.4,35,12.5,146,527,0.189,0.222,0.307,0.335,0.311,0.328,0.283,0.302,7,0.23,0.122,27.7,87.4,90.6,18,163,31.3,3.9,2.5
5,"Brosseau, Mike",1132,1261,89.8,305,261,206,75,54,8,0,13,57,18.7,33,10.8,132,527,0.287,0.251,0.384,0.356,0.467,0.405,0.372,0.338,12,0.321,0.18,25.0,88.1,91.1,14,151,38.3,5.8,3.9
6,"Thompson, Trayce",1038,1530,67.8,252,224,163,51,22,13,0,16,65,25.8,23,9.1,146,468,0.228,0.217,0.298,0.292,0.5,0.409,0.337,0.307,20,0.238,0.272,31.2,89.9,92.1,17,154,39.9,12.3,7.9
7,"Baty, Brett",1017,1018,99.9,246,211,164,55,29,10,0,16,49,19.9,31,12.6,116,446,0.261,0.278,0.358,0.375,0.536,0.552,0.381,0.397,26,0.264,0.275,26.0,88.5,92.9,13,167,46.3,15.9,10.6
8,"Reyes, Pablo",892,964,92.5,214,187,156,52,36,6,2,8,33,15.4,25,11.7,61,363,0.278,0.271,0.36,0.356,0.46,0.415,0.355,0.34,7,0.297,0.182,16.8,88.1,91.4,15,161,37.2,4.5,3.3
9,"Cortes, Carlos",836,836,100.0,216,186,151,44,28,7,0,9,38,17.6,27,12.5,82,364,0.237,0.26,0.329,0.353,0.419,0.447,0.326,0.35,11,0.246,0.183,22.5,91.1,92.3,17,166,40.4,7.3,5.1
10,"Gamel, Ben",782,783,99.9,189,156,112,49,29,12,1,7,46,24.3,31,16.4,76,297,0.314,0.269,0.423,0.389,0.538,0.427,0.412,0.363,10,0.4,0.224,25.6,91.2,92.4,21,155,46.4,8.9,5.3
11,"Thomas, Rhylan",674,956,70.5,192,179,155,41,25,11,0,5,24,12.5,13,6.8,54,387,0.229,0.203,0.281,0.257,0.374,0.281,0.286,0.242,1,0.24,0.145,14.0,86.4,89.6,11,162,23.2,0.6,0.5
12,"Iglesias, Jose",658,658,100.0,174,165,137,45,31,7,0,7,29,16.7,8,4.6,72,333,0.273,0.258,0.305,0.293,0.442,0.383,0.321,0.294,6,0.292,0.17,21.6,85.4,91.2,8,146,34.3,4.4,3.4
13,"Vientos, Mark",549,549,100.0,132,116,78,33,21,5,1,6,38,28.8,15,11.4,79,238,0.284,0.237,0.371,0.331,0.5,0.444,0.376,0.337,10,0.375,0.216,33.2,91.8,92.8,5,151,47.4,12.8,7.6
14,"Senger, Hayden",483,485,99.6,131,115,85,29,17,8,1,3,31,23.7,11,8.4,65,241,0.252,0.226,0.336,0.315,0.417,0.346,0.33,0.296,4,0.317,0.165,27.0,85.5,91.0,10,147,28.2,4.7,3.1
15,"Gilbert, Drew MLB #81 / #NYM #3",421,465,90.5,111,97,70,21,16,3,0,2,27,24.3,11,9.9,52,184,0.216,0.189,0.315,0.291,0.309,0.282,0.286,0.264,3,0.279,0.093,28.3,85.9,91.2,18,145,24.3,4.3,2.7
16,"Choi, Ji Man",418,418,100.0,104,84,58,16,10,2,0,4,29,27.9,17,16.3,59,189,0.19,0.212,0.317,0.336,0.357,0.398,0.3,0.321,6,0.222,0.167,31.2,91.4,92.0,13,180,46.6,10.3,5.8
17,"Allen, Austin",368,371,99.2,106,100,71,29,19,3,0,7,30,28.3,4,3.8,63,209,0.29,0.187,0.321,0.228,0.53,0.309,0.361,0.236,5,0.344,0.24,30.1,89.3,91.5,17,145,36.6,7.0,4.7
18,"Hudson, Joe",367,395,92.9,88,71,42,18,11,3,0,4,29,33.0,13,14.8,43,151,0.254,0.196,0.398,0.351,0.465,0.359,0.38,0.324,4,0.368,0.211,28.5,91.7,91.7,17,160,40.5,9.5,4.5
19,"Schwartz, JT",315,315,100.0,84,75,60,15,10,4,0,1,16,19.0,4,4.8,26,166,0.2,0.216,0.274,0.288,0.293,0.348,0.256,0.282,2,0.237,0.093,15.7,88.5,91.0,24,180,35.0,3.3,2.4
20,"O'Neill, Matt",241,243,99.2,57,49,28,8,4,3,0,1,22,38.6,7,12.3,46,104,0.163,0.124,0.263,0.233,0.286,0.224,0.248,0.217,1,0.259,0.122,44.2,88.8,90.7,14,152,39.3,3.6,1.8
21,"Stewart, DJ",233,233,100.0,55,40,25,12,7,3,0,2,15,27.3,13,23.6,36,102,0.3,0.251,0.491,0.456,0.525,0.402,0.444,0.393,3,0.435,0.225,35.3,88.4,91.0,15,138,36.0,12.0,5.5
22,"Bradley Jr., Jackie",231,231,100.0,57,51,38,12,7,3,0,2,14,24.6,5,8.8,30,115,0.235,0.24,0.298,0.308,0.412,0.419,0.306,0.316,2,0.278,0.176,26.1,86.2,91.2,15,131,36.8,5.3,3.5
23,"Porter, Logan",197,1059,18.6,44,37,21,6,4,1,0,1,16,36.4,5,11.4,37,85,0.162,0.166,0.295,0.298,0.27,0.263,0.266,0.265,1,0.25,0.108,43.5,83.8,90.1,11,150,19.0,4.8,2.3
24,"Kohlwey, Taylor",164,164,100.0,37,34,21,3,2,1,0,0,13,35.1,3,8.1,18,72,0.088,0.114,0.162,0.186,0.118,0.133,0.137,0.155,0,0.143,0.029,25.0,80.1,90.9,23,121,4.8,0.0,0.0
25,"Nido, Tomás",84,85,98.8,29,29,23,10,7,2,0,1,6,20.7,0,0.0,14,55,0.345,0.279,0.345,0.279,0.517,0.549,0.37,0.349,3,0.409,0.172,25.5,90.7,92.2,15,147,47.8,13.0,10.3
26,"Rosario, Eddie",73,119,61.3,22,21,14,3,0,1,1,1,7,31.8,1,4.5,16,44,0.143,0.099,0.182,0.14,0.429,0.161,0.253,0.136,0,0.154,0.286,36.4,82.8,89.6,9,143,14.3,0.0,0.0
27,"Marte, Starling",42,71,59.2,12,11,12,2,1,1,0,0,0,0.0,0,0.0,4,22,0.182,0.292,0.167,0.301,0.273,0.348,0.178,0.287,0,0.167,0.091,18.2,88.1,92.6,-4,95,33.3,0.0,0.0
28,"Martinez, J.D.",31,82,37.8,8,8,7,3,2,1,0,0,1,12.5,0,0.0,2,16,0.375,0.361,0.375,0.361,0.5,0.508,0.377,0.371,1,0.429,0.125,12.5,96.1,93.2,9,177,71.4,14.3,12.5
